text,airline_sentiment
 What  said.,neutral
 plus you've added commercials to the experience... tacky.,positive
 I didn't today... Must mean I need to take another trip!,neutral
" it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative
 and it's a really big bad thing about it,negative
" seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative
" yes, nearly every time I fly VX this “ear worm” won’t go away :)",positive
" Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral
" Well, I didn't…but NOW I DO! :-D",positive
" it was amazing, and arrived an hour early. You're too good to me.",positive
 did you know that suicide is the second leading cause of death among teens 10-24,neutral
 I &lt;3 pretty graphics. so much better than minimal iconography. :D,positive
 This is such a great deal! Already thinking about my 2nd trip to  &amp; I haven't even gone on my 1st trip yet! ;p,positive
  I'm flying your fabulous Seductive skies again! U take all the stress away from travel http://t.co/ahlXHhKiyn,positive
 Thanks!,positive
 SFO-PDX schedule is still MIA.,negative
 So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. 29DaysToGo,positive
  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,negative
I ❤️ flying . ☺️👍,positive
 you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive
 why are your first fares in May over three times more than other carriers when all seats are available to select???,negative
 I love this graphic. http://t.co/UT5GrRwAaA,positive
 I love the hipster innovation. You are a feel good brand.,positive
 will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral
 you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
 status match program.  I applied and it's been three weeks.  Called and emailed with no response.,negative
 What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs fail,negative
 do you miss me? Don't worry we'll be together very soon.,neutral
 amazing to me that we can't get any cold air from the vents. VX358 noair worstflightever roasted SFOtoBOS,negative
 LAX to EWR - Middle seat on a red eye. Such a noob maneuver. sendambien andchexmix,neutral
" hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative
 Are the hours of operation for the Club at SFO that are posted online current?,neutral
" help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative
" awaiting my return phone call, just would prefer to use your online self-service option :(",negative
 this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via ,positive
Nice RT : Vibe with the moodlight from takeoff to touchdown. MoodlitMonday ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral
 Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ MoodlitMonday,positive
"  Done and done! Best airline around, hands down!",positive
 when can I book my flight to Hawaii??,neutral
 Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative
" View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
" Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
 plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral
 I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? travelhelp,neutral
 are flights leaving Dallas for Seattle on time Feb 24?,neutral
 I'm elevategold for a good reason: you rock!!,positive
  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral
 wow this just blew my mind,positive
   After last night tribute SoundOfMusic Oscars2015 ! I think  agree,neutral
   All were entertaining,neutral
" Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral
   Julie Andrews all the way though  was very impressive! NO to ,positive
 wish you flew out of Atlanta... Soon?,neutral
   Julie Andrews. Hands down.,neutral
 Will flights be leaving Dallas for LA on February 24th?,neutral
 hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative
